"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat","State"
2029-01-01,1656.82345064272,-617.570628660238,-617.570628660238,-617.570628660238,-617.570628660238,-617.570628660238,-617.570628660238,0,0,0,324.948541969812,1748.12116135391,1656.82342451306,1656.8234767318,1039.25282198248,"Tennessee"
2015-01-01,49.6570159680923,397.339890323985,397.339890323985,397.339890323985,397.339890323985,397.339890323985,397.339890323985,0,0,0,-62.2128289871567,1000.28121306607,49.6570159680923,49.6570159680923,446.996906292077,"Texas"
2016-01-01,123.139194653611,429.387305844336,429.387305844336,429.387305844336,429.387305844336,429.387305844336,429.387305844336,0,0,0,75.873814251988,1026.87142003348,123.139194653611,123.139194653611,552.526500497947,"Texas"
2017-01-01,196.822694340461,335.152312305765,335.152312305765,335.152312305765,335.152312305765,335.152312305765,335.152312305765,0,0,0,6.17797750579377,1022.11223606078,196.822694340461,196.822694340461,531.975006646226,"Texas"
2018-01-01,270.30487311149,365.915380479729,365.915380479729,365.915380479729,365.915380479729,365.915380479729,365.915380479729,0,0,0,165.006713425277,1098.08892667233,270.30487311149,270.30487311149,636.220253591218,"Texas"
2019-01-01,343.787051798697,397.339890324015,397.339890324015,397.339890324015,397.339890324015,397.339890324015,397.339890324015,0,0,0,247.325129000059,1229.52781650696,343.787051798697,343.787051798697,741.126942122712,"Texas"
2020-01-01,417.269230553652,429.387305844284,429.387305844284,429.387305844284,429.387305844284,429.387305844284,429.387305844284,0,0,0,361.447081112167,1360.50078993964,417.269230553652,417.269230553652,846.656536397936,"Texas"
2021-01-01,490.952730387567,335.152312305821,335.152312305821,335.152312305821,335.152312305821,335.152312305821,335.152312305821,0,0,0,358.977709192976,1345.73156313123,490.952730387567,490.952730387567,826.105042693388,"Texas"
2022-01-01,564.434909342632,365.915380479768,365.915380479768,365.915380479768,365.915380479768,365.915380479768,365.915380479768,0,0,0,411.691417333486,1474.50200944363,564.434909342632,564.434909342632,930.3502898224,"Texas"
2023-01-01,637.917088244491,397.339890323943,397.339890323943,397.339890323943,397.339890323943,397.339890323943,397.339890323943,0,0,0,575.421918051446,1495.6231883168,637.917088244491,637.917088244491,1035.25697856843,"Texas"
